epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4503.37,0.82607,0.70112,1.08511,0.88366,0.75735,0.81308,0.51621,1.31686,0.76301,1.3771,0.000169718,0.000169718,0.000169718
79,4562.07,0.81447,0.69706,1.0837,0.84844,0.75674,0.80924,0.5098,1.31056,0.75338,1.3786,0.000162649,0.000162649,0.000162649
80,4622,0.8183,0.69733,1.08083,0.8953,0.72361,0.81204,0.51545,1.29404,0.76167,1.37741,0.000155581,0.000155581,0.000155581
81,4680.2,0.81165,0.69102,1.08176,0.90096,0.73752,0.81523,0.51275,1.31888,0.77425,1.40557,0.000148512,0.000148512,0.000148512
82,4737.81,0.81383,0.68769,1.07789,0.88662,0.74023,0.81768,0.51673,1.30651,0.75284,1.3914,0.000141443,0.000141443,0.000141443
83,4796.86,0.7986,0.67703,1.07067,0.90659,0.73244,0.82074,0.52083,1.29133,0.74783,1.37212,0.000134375,0.000134375,0.000134375
84,4855.62,0.80194,0.67846,1.07352,0.88402,0.74404,0.80941,0.51718,1.29077,0.75674,1.37833,0.000127306,0.000127306,0.000127306
85,4913.4,0.78756,0.6738,1.07266,0.90333,0.71892,0.80992,0.51747,1.29785,0.75292,1.38455,0.000120238,0.000120238,0.000120238
86,4971.12,0.79636,0.67486,1.06781,0.89322,0.74734,0.81611,0.51357,1.30057,0.75124,1.38614,0.000113169,0.000113169,0.000113169
87,5029.28,0.80166,0.67688,1.07077,0.8795,0.75156,0.81719,0.50395,1.34657,0.75909,1.43398,0.0001061,0.0001061,0.0001061
88,5087.55,0.79018,0.66174,1.06596,0.86826,0.76181,0.81681,0.52069,1.2676,0.73493,1.36935,9.90318e-05,9.90318e-05,9.90318e-05
89,5145.26,0.80133,0.67019,1.06769,0.88986,0.74164,0.81299,0.51935,1.28897,0.73951,1.38876,9.19632e-05,9.19632e-05,9.19632e-05
90,5202.8,0.78746,0.66405,1.06505,0.92096,0.73801,0.81967,0.52899,1.26423,0.73512,1.37043,8.48946e-05,8.48946e-05,8.48946e-05
91,5261.26,0.79804,0.60274,1.06615,0.87989,0.75229,0.81605,0.51812,1.32372,0.74716,1.40092,7.7826e-05,7.7826e-05,7.7826e-05
92,5316.99,0.7734,0.5738,1.05614,0.91499,0.725,0.80993,0.51747,1.30789,0.76075,1.39801,7.07574e-05,7.07574e-05,7.07574e-05
93,5371.21,0.77,0.56536,1.04624,0.89474,0.76271,0.82268,0.52167,1.30129,0.74353,1.39122,6.36888e-05,6.36888e-05,6.36888e-05
94,5425.83,0.76415,0.56295,1.04656,0.89459,0.75079,0.81555,0.52112,1.2904,0.74461,1.36807,5.66202e-05,5.66202e-05,5.66202e-05
95,5480.08,0.75619,0.55668,1.04608,0.90021,0.73323,0.81005,0.52728,1.25842,0.73696,1.3678,4.95516e-05,4.95516e-05,4.95516e-05
96,5534.85,0.75301,0.55141,1.04388,0.89289,0.75266,0.81745,0.52891,1.26439,0.73897,1.36236,4.2483e-05,4.2483e-05,4.2483e-05
97,5589.95,0.74873,0.54471,1.03741,0.91579,0.74341,0.81598,0.52485,1.2815,0.73668,1.37347,3.54144e-05,3.54144e-05,3.54144e-05
98,5646.04,0.7487,0.54702,1.03583,0.90429,0.75243,0.8143,0.53071,1.24933,0.72576,1.34603,2.83458e-05,2.83458e-05,2.83458e-05
99,5701.71,0.74575,0.54272,1.03738,0.91033,0.74845,0.81774,0.5294,1.26571,0.72666,1.35742,2.12772e-05,2.12772e-05,2.12772e-05
100,5758.01,0.74299,0.5458,1.03959,0.9136,0.7491,0.82107,0.52775,1.27456,0.72013,1.3679,1.42086e-05,1.42086e-05,1.42086e-05
